Zone,ObservedCount,InitialThreshold,BestThreshold,BestF1
1,70,0.5,0.5,0.7076923076923077
2,70,0.5,0.54,0.6933333333333334
3,70,0.5,0.52,0.5882352941176471
4,70,0.5,0.56,0.6461538461538462
5,70,0.5,0.5,0.4857142857142857
6,70,0.5,0.48,0.5567010309278351
7,70,0.5,0.48,0.5714285714285714
8,70,0.5,0.48,0.5473684210526316
9,70,0.5,0.5,0.42696629213483145
10,70,0.5,0.5,0.42696629213483145
