epoch,train_loss,train_mean_f1,val_loss,val_mean_f1,val_mean_average_precision,val_mean_roc_auc,val_mean_ap_zones_1_8,val_zone9_average_precision,val_zone9_f1,val_checkpoint_score,lr_backbone,lr_head
1,0.7721901800751948,0.5524199877000753,0.7486257264691014,0.62196145524054,0.6261057791298438,0.7139546689597245,0.6296953868436411,0.5973889174194652,0.651685393258427,0.6200034460163883,2.1111111111111114e-06,2.111111111111111e-05
2,0.5343967206608061,0.7515627994409945,0.7508988438114044,0.7280026435942959,0.7406804233636585,0.8327711472225329,0.7423603428513882,0.7272410674618205,0.7719298245614035,0.7378245602345178,4.111111111111111e-06,4.111111111111111e-05
3,0.42688152174388944,0.8108025765051172,0.6775228419611531,0.7804762049759139,0.7934383117040266,0.8643151151187428,0.7984935503741547,0.7529964023430011,0.7868852459016393,0.7848444059648085,6.111111111111112e-06,6.111111111111112e-05
4,0.36789076777246094,0.8396579439958489,0.7354650651254961,0.7658278655533598,0.8060105722164557,0.8752016257614051,0.8158042578849454,0.7276610868685374,0.7397260273972602,0.7893613065800229,8.111111111111112e-06,8.111111111111112e-05
5,0.33441881598362927,0.8509880317716263,0.5926704464420196,0.7942198549079981,0.839296549755399,0.8921069358387825,0.8473099163275468,0.775189617178217,0.7857142857142857,0.8256738265827478,9.999991646228235e-06,9.999991646228234e-05
6,0.3146225531899922,0.8632744117701208,0.5901234092250947,0.7943567339135604,0.8265841702393258,0.8817603441656803,0.8368285359653436,0.7446292444311847,0.7868852459016393,0.8091687485050958,9.996984593744525e-06,9.996984593744525e-05
7,0.29413430659588663,0.8753425801688419,0.7400444822926675,0.7741635319671719,0.8200998712745741,0.8819766191804537,0.8238638249725088,0.7899882416910962,0.7619047619047619,0.8137011499880848,9.98856808623845e-06,9.988568086238451e-05
8,0.2490204607305186,0.9006118305605152,0.749176400323068,0.7798138514656093,0.8273181310956643,0.8803224841450833,0.8374237986729474,0.7464727904773999,0.75,0.810138496214283,9.974751327037402e-06,9.974751327037402e-05
9,0.24725080769227206,0.8991660354785428,0.5507033361542609,0.7967721973691538,0.8490966004041828,0.8924540104087989,0.8552968618513395,0.7994945088269292,0.8064516129032258,0.8385561559440162,9.955549424564706e-06,9.955549424564706e-05
10,0.22461631686465186,0.9079963132519853,0.5226064632015843,0.784290534030602,0.8291050170435571,0.8940553192659257,0.832124529527293,0.8049489171736697,0.8,0.823971845821206,9.930983375818802e-06,9.930983375818803e-05
