epoch,train_loss,train_mean_f1,val_loss,val_mean_f1,val_mean_average_precision,val_mean_roc_auc,val_mean_ap_zones_1_8,val_zone9_average_precision,val_zone9_f1,val_checkpoint_score,lr_backbone,lr_head
1,0.6437194025826977,0.6908180837783475,0.6752578160979531,0.7468361930525584,0.775846654800525,0.8593042166309712,0.7684335899490016,0.835151173612712,0.8571428571428571,0.7884488650481146,2.0294117647058825e-05,0.00020294117647058824
2,0.5193906317458462,0.7628862416304912,1.0280602021650835,0.6279119924281216,0.6592182769170103,0.7381715778131073,0.6771214268595251,0.5159930773768917,0.5,0.6287829220147351,4.029411764705883e-05,0.0004029411764705883
3,0.6656830297762227,0.6759459843691371,0.8724812616001476,0.6468445967864734,0.6684233353175469,0.8078376578604103,0.6718787467534351,0.6407800438304416,0.5641025641025641,0.662549135876537,6.0294117647058825e-05,0.0006029411764705882
4,0.5170997914054661,0.7808178877853053,0.6274549755183133,0.6461523097457761,0.6877609687578726,0.7576727949031993,0.6847767220669696,0.7116349422850969,0.6666666666666666,0.6928341881324078,8.029411764705883e-05,0.0008029411764705883
5,0.6225806077978443,0.7133808712360307,0.571532727913423,0.6649859036196797,0.715217584268752,0.8366615161368264,0.7141962940177274,0.7233879062769482,0.7333333333333333,0.7169537776954936,9.999999414657707e-05,0.0009999999414657707
6,0.5377413253983272,0.7687705383010077,0.6530152147466486,0.574859560212472,0.6137380437534145,0.732540830986882,0.624139783312864,0.5305241272778186,0.5714285714285714,0.5960550865023504,9.997213446773749e-05,0.0009997213446773748
7,0.5213778175293488,0.7625518213778609,0.6977041190320795,0.6376126794663494,0.656701673625967,0.7746623522182626,0.66626839523417,0.5801679007603426,0.5405405405405406,0.6404382468920218,9.989017773619997e-05,0.0009989017773619996
8,0.5450643617883109,0.7275226582829452,0.7395172693512656,0.4240160426757695,0.3795078624416123,0.5457404626270079,0.39397595180148265,0.2637631475626493,0.38235294117647056,0.3549121105298326,9.97542135704472e-05,0.0009975421357044719
9,0.7316498138925269,0.5998491915249407,0.7183932174335826,0.5265392399138528,0.5170694942039948,0.6565125513909427,0.5347532679529279,0.3755993042125305,0.38235294117647056,0.4870070788308086,9.956439064529824e-05,0.0009956439064529824
10,0.7166248553052527,0.6209075998445573,0.7675899679010565,0.4335774110922948,0.41687731340297335,0.562473188638677,0.4317531896102551,0.29787030374471923,0.3939393939393939,0.39158832385059433,9.932091652933474e-05,0.0009932091652933475
11,0.7447575709207731,0.6329893641017645,0.7914836504242637,0.457871549017496,0.4269147710616587,0.6304981327116201,0.42920187696728784,0.4086179238166254,0.42105263157894735,0.4230266910220891,9.90240574579279e-05,0.000990240574579279
12,0.6750547082870644,0.6750513247497902,0.7511753353205595,0.5465155696612997,0.5166102642511377,0.6639158002098738,0.5223023843587328,0.47107330339037656,0.5185185185185185,0.5069336600682259,9.867413804211386e-05,0.0009867413804211386
13,0.5858691129101954,0.7312425219364083,0.691554745760831,0.5350422426314587,0.5668304882904982,0.6803058094805454,0.5760591540305748,0.49300116236988545,0.4666666666666667,0.551141756532368,9.82715409136363e-05,0.0009827154091363631
14,0.5297951724545036,0.7687640285339982,0.7636524655602195,0.5214723763769488,0.5131171423589236,0.6308140883835331,0.5085547387176288,0.5496163714892812,0.5416666666666666,0.5208732285491244,9.781670630654442e-05,0.0009781670630654442
15,0.4506175702036585,0.801581302076812,0.7870678305625916,0.6102686585445206,0.6345212383293535,0.7249414679530637,0.6392992716071866,0.5962969721066886,0.5714285714285714,0.6263985817570371,9.731013157580319e-05,0.0009731013157580319
16,0.4736686402137933,0.7924494388009065,0.927849531173706,0.4586966118670076,0.4521643991716771,0.5732882165982478,0.4587610705921388,0.3993910278079839,0.43478260869565216,0.4409500577568923,9.675237065344323e-05,0.0009675237065344323
