Zone,ObservedCount,InitialThreshold,BestThreshold,BestF1
1,44,0.5,0.5,0.7428571428571429
2,44,0.5,0.52,0.6875
3,44,0.5,0.5,0.6
4,44,0.5,0.48,0.676923076923077
5,44,0.5,0.54,0.6875
6,44,0.5,0.52,0.6229508196721312
7,44,0.5,0.5,0.6666666666666666
8,44,0.5,0.52,0.7076923076923077
9,44,0.5,0.5,0.65625
10,44,0.5,0.5,0.6451612903225806
