Zone,ObservedCount,InitialThreshold,BestThreshold,BestF1
1,61,0.5,0.56,0.6111111111111112
2,61,0.5,0.48,0.5671641791044776
3,61,0.5,0.5,0.49382716049382713
4,61,0.5,0.56,0.5396825396825397
5,61,0.5,0.62,0.6440677966101694
6,61,0.5,0.5,0.6292134831460674
7,61,0.5,0.5,0.5813953488372093
8,61,0.5,0.5,0.6593406593406593
9,61,0.5,0.6,0.45901639344262296
10,61,0.5,0.5,0.6444444444444445
