Zone,ObservedCount,InitialThreshold,BestThreshold,BestF1
1,70,0.5,0.5,0.5714285714285714
2,70,0.5,0.5,0.6
3,70,0.5,0.5,0.5416666666666666
4,70,0.5,0.5,0.5263157894736842
5,70,0.5,0.54,0.49230769230769234
6,70,0.5,0.5,0.5567010309278351
7,70,0.5,0.5,0.5714285714285714
8,70,0.5,0.5,0.5416666666666666
9,70,0.5,0.5,0.42696629213483145
10,70,0.5,0.5,0.42696629213483145
