epoch,train_loss,train_mean_f1,val_loss,val_mean_f1,val_mean_average_precision,val_mean_roc_auc,val_mean_ap_zones_1_8,val_zone9_average_precision,val_zone9_f1,val_checkpoint_score,lr_backbone,lr_head
1,0.6444712061066922,0.6979139213556251,0.5283378503539345,0.7164177386399609,0.7461564491105755,0.8618819469001685,0.7286351668143283,0.8863267074805534,0.9230769230769231,0.7759426290141958,2.0294117647058825e-05,0.00020294117647058824
2,0.6714883722663665,0.6680085213399818,0.5863627504218708,0.691020390830689,0.7086326020760851,0.8237644816615304,0.7081644657487913,0.7123776926944347,0.6666666666666666,0.7094284338324843,4.029411764705883e-05,0.0004029411764705883
3,0.6028523677363283,0.7247463470274464,0.6564859644933181,0.7149891934374693,0.7576941041909107,0.8711825637156205,0.7691129967228724,0.666342963935217,0.6153846153846154,0.7382819868865758,6.0294117647058825e-05,0.0006029411764705882
4,0.6066925368337603,0.711245761841885,0.6635098858313127,0.5477321525785123,0.5761904176545478,0.7190142047686078,0.5759124989660594,0.578413767162455,0.5333333333333333,0.5766628794249781,8.029411764705883e-05,0.0008029411764705883
5,0.7171214688607808,0.6473335523377453,0.7840346152132208,0.4821302713339172,0.4063852418834791,0.5942920204499393,0.42310331339703416,0.2726406697750384,0.3939393939393939,0.37796452031043537,9.999999414657707e-05,0.0009999999414657707
6,0.7988881193049046,0.558427527800623,0.7187577756968412,0.46325213265547976,0.4723821381747118,0.624805628370555,0.4852490570813472,0.3694467869216285,0.42105263157894735,0.4505083760334316,9.997213446773749e-05,0.0009997213446773748
7,0.802538946917748,0.5317809055708381,0.9476632779294795,0.4260024282736949,0.3568859057037155,0.5828761573800041,0.37304397296845604,0.22762136758579077,0.38235294117647056,0.32941719135365644,9.989017773619997e-05,0.0009989017773619996
8,0.7992675203880825,0.5383389995943743,0.8176834149794145,0.4560939007536595,0.4106747086019941,0.5923393828721373,0.42678916904495323,0.28175902505832123,0.38235294117647056,0.38328012584896365,9.97542135704472e-05,0.0009975421357044719
9,0.795088331750623,0.5227582628797807,0.7995567506009882,0.48071995179838317,0.4753691284431512,0.6527508289028467,0.48754834225398164,0.37793541795650776,0.4,0.45466446496473945,9.956439064529824e-05,0.0009956439064529824
10,0.7511885861021864,0.6364067565661393,0.6874447269873185,0.5574119225460222,0.5554584816188921,0.7302028403165974,0.5681232820104815,0.45414007848617716,0.5,0.5339283209531902,9.932091652933474e-05,0.0009932091652933475
11,0.7340433211206355,0.639876798447937,0.7530262231826782,0.44001106704027687,0.41110526255014557,0.5877231798617153,0.4217465774087972,0.32597474368093293,0.38235294117647056,0.39301502729043786,9.90240574579279e-05,0.000990240574579279
12,0.7763298163733339,0.5668525696413484,0.7505620111118664,0.4591240238099321,0.43562141402895177,0.6286542681449158,0.4479384359455483,0.33708523869617996,0.4,0.4146824767707378,9.867413804211386e-05,0.0009867413804211386
13,0.7409335769814566,0.598896251199905,0.7175057953054255,0.515568382235049,0.5469543128628416,0.6714018411777043,0.5664511734941959,0.390979427812007,0.4,0.5138096497895392,9.82715409136363e-05,0.0009827154091363631
14,0.6870651683959157,0.6754445615745275,0.6994517694820057,0.5716862816449498,0.5778059305734354,0.6564526228702929,0.5843147946522411,0.5257350179429898,0.5116279069767442,0.5667408616394657,9.781670630654442e-05,0.0009781670630654442
15,0.728715136591784,0.6265078941915564,0.6940050677819686,0.5042946918504211,0.49399708453405317,0.6318359552910489,0.5121405436509985,0.34884941159849114,0.38235294117647056,0.4631532040352463,9.731013157580319e-05,0.0009731013157580319
16,0.7542468187679876,0.6136080054964773,0.7153854229233482,0.5262972303955912,0.5478753757927304,0.6914054080824157,0.5492845936052032,0.5366016332929477,0.47619047619047616,0.5454797055115266,9.675237065344323e-05,0.0009675237065344323
