epoch,train_loss,train_mean_f1,val_loss,val_mean_f1,val_mean_average_precision,val_mean_roc_auc,val_mean_ap_zones_1_8,val_zone9_average_precision,val_zone9_f1,val_checkpoint_score,lr_backbone,lr_head
1,0.6376445040558324,0.693918807240222,0.4069822255302878,0.6394741061407728,0.6461301507134841,0.8718253968253968,0.6899172528860029,0.29583333333333334,0.4444444444444444,0.5716920770202021,2.028169014084507e-05,0.0002028169014084507
2,0.6083598779232213,0.7081955925671293,0.33859549813410816,0.7398589065255732,0.7625,0.923015873015873,0.8135416666666666,0.3541666666666667,0.4444444444444444,0.6757291666666665,4.0281690140845076e-05,0.0004028169014084507
3,0.615000710661611,0.6979943905466681,0.6217507930362925,0.5876543209876544,0.505693344544928,0.49748677248677253,0.5251611220949599,0.34995112414467255,0.4,0.47259812270987367,6.0281690140845074e-05,0.0006028169014084506
4,0.8180512079368089,0.47147364301197453,0.6379084552035612,0.588888888888889,0.4949596629997352,0.46904761904761905,0.5165472397720086,0.3222590488215488,0.4,0.4582607824868706,8.028169014084508e-05,0.0008028169014084507
5,0.8300652206475297,0.490896899928338,0.5833365356220919,0.6000000000000001,0.5276992606159273,0.632010582010582,0.5495991681929182,0.35250000000000004,0.4,0.4904694177350427,9.999999463078206e-05,0.0009999999463078206
6,0.807221679763998,0.5554723112019669,0.6819562351002413,0.6000000000000001,0.5027538371548737,0.4847883597883597,0.5245767141599367,0.3281708211143695,0.4,0.4656549462462665,9.997216858211535e-05,0.0009997216858211534
7,0.7759919181970777,0.5585365443058579,0.5709835886955261,0.4666666666666667,0.40104853539974805,0.4724867724867725,0.41015824968542036,0.3281708211143695,0.4,0.3855620211141051,9.989024544344714e-05,0.0009989024544344715
8,0.752913729764136,0.5973186143263802,0.733097213156083,0.5333333333333334,0.4781666489935966,0.5587301587301587,0.495278749959066,0.3412698412698413,0.4,0.4490760773522986,9.97543147965268e-05,0.0009975431479652681
9,0.7665504313832723,0.5677165857504423,0.5679050894344554,0.5370370370370371,0.459572558006741,0.4634920634920634,0.4759265614697048,0.3287405303030303,0.4,0.43177075211970245,9.956452527952102e-05,0.0009956452527952102
10,0.7798253470988622,0.5681244099620687,0.6088246843394112,0.5925925925925926,0.4953202463373229,0.5134920634920634,0.5266405190649721,0.24475806451612903,0.3333333333333333,0.44207578270031916,9.93210844244802e-05,0.0009932108442448021
11,0.8325192086836871,0.4880974151153857,0.7465800117043888,0.48922715284944396,0.4695280404443335,0.6855820105820105,0.4817904740713037,0.37142857142857144,0.4,0.448681903278484,9.902425843040513e-05,0.0009902425843040514
12,0.8276689179015883,0.46823859738475565,0.6535989992758807,0.6000000000000001,0.502993550556236,0.4834656084656085,0.5239939280878867,0.3349905303030303,0.4,0.46729290875242974,9.86743718721624e-05,0.000986743718721624
13,0.7777228958891462,0.5662884570048499,0.5917979513897615,0.5876543209876544,0.490665461656982,0.48571428571428565,0.5111008095113698,0.32718267882187935,0.4,0.4559253703045227,9.827180734556645e-05,0.0009827180734556646
14,0.7687097681078682,0.5415552972571764,0.48584771156311035,0.4904761904761905,0.48300135389119436,0.7603174603174604,0.4944499212368374,0.3914128151260504,0.4,0.46353878940360127,9.781700504901675e-05,0.0009781700504901676
15,0.8283504298664032,0.46591133847451577,0.5506224614732406,0.5093634760301428,0.4520863170853946,0.47724867724867726,0.4643795404331902,0.3537405303030303,0.4,0.43118783739414224,9.731046230214721e-05,0.0009731046230214721
16,0.7319148727119925,0.5954411624237204,0.4575275182723999,0.4121212121212121,0.39714606814022013,0.6916666666666667,0.3982460935750409,0.3883458646616541,0.4,0.39527602490102487,9.675273300201454e-05,0.0009675273300201454
17,0.708780412049217,0.6485985165777332,0.5610589525278877,0.6000000000000001,0.5138719241167815,0.5525132275132276,0.5325120448995784,0.36475095785440614,0.4,0.48218371878602667,9.614442701741997e-05,0.0009614442701741996
