epoch,train_loss,train_mean_f1,val_loss,val_mean_f1,val_mean_average_precision,val_mean_roc_auc,val_mean_ap_zones_1_8,val_zone9_average_precision,val_zone9_f1,val_checkpoint_score,lr_backbone,lr_head
1,0.7737863982850005,0.5302258329805419,0.43415061165304747,0.8444444444444443,0.8669590643274854,0.9575396825396827,0.875,0.8026315789473684,0.8571428571428571,0.8532894736842105,2.1111111111111114e-06,2.111111111111111e-05
2,0.5831495717885022,0.7328013850871959,0.24492863916298924,0.921387254720588,0.9476671476671478,0.9857142857142858,0.9610119047619048,0.8409090909090909,0.8571428571428571,0.9249810606060607,4.111111111111111e-06,4.111111111111111e-05
3,0.4434311954095402,0.7969212840819099,0.24824323921519167,0.8638447971781305,0.8981040564373897,0.9712962962962963,0.9357142857142856,0.5972222222222222,0.6,0.8341666666666666,6.111111111111112e-06,6.111111111111112e-05
4,0.38192616299511917,0.8349062218591977,0.16444536955917582,0.8677248677248677,0.9107142857142857,0.976851851851852,0.9375,0.6964285714285714,0.6666666666666666,0.8651785714285714,8.111111111111112e-06,8.111111111111112e-05
5,0.39991919831796124,0.8251899151677514,0.2274942558039637,0.8677248677248677,0.8976190476190475,0.9759259259259259,0.9285714285714285,0.65,0.6666666666666666,0.845,9.999991646228235e-06,9.999991646228234e-05
6,0.34936193564040136,0.8485523636827631,0.24125255863456166,0.8142043142043142,0.8555487722154389,0.9613756613756613,0.8669394841269842,0.7644230769230769,0.75,0.8361845619658119,9.996984593744525e-06,9.996984593744525e-05
7,0.28143021140294067,0.8863170146071461,0.18316726320806673,0.8576238576238577,0.8993867243867244,0.9746031746031747,0.9223214285714285,0.7159090909090909,0.6666666666666666,0.8603977272727272,9.98856808623845e-06,9.988568086238451e-05
8,0.256637289721698,0.8906305409052138,0.2221209731172113,0.8464313464313463,0.8749118165784833,0.9662698412698414,0.900421626984127,0.6708333333333333,0.75,0.8315451388888888,9.974751327037402e-06,9.974751327037402e-05
9,0.21727477903884576,0.9095146532627013,0.22353764376876986,0.8457190957190958,0.8871252204585538,0.9711640211640211,0.9060019841269841,0.7361111111111112,0.6666666666666666,0.8550347222222221,9.955549424564706e-06,9.955549424564706e-05
10,0.23479770854407667,0.8987863637552651,0.22464269049027386,0.8787878787878788,0.8966049382716049,0.9699735449735449,0.9045138888888888,0.8333333333333333,0.8571428571428571,0.8831597222222222,9.930983375818802e-06,9.930983375818803e-05
11,0.1980411903849685,0.9174567003733833,0.23547149909769788,0.7829392829392829,0.8408289241622575,0.9605820105820106,0.8575396825396825,0.7071428571428571,0.6666666666666666,0.8124206349206348,9.901080043413314e-06,9.901080043413315e-05
12,0.1930749574792364,0.9213019789423647,0.3395478024202235,0.711978761978762,0.7597332451499118,0.9321428571428574,0.7853422619047619,0.5548611111111111,0.6153846153846154,0.7161979166666667,9.865872126203193e-06,9.865872126203193e-05
13,0.16699778161106263,0.9340801356136947,0.20592860965167775,0.87024087024087,0.888447971781305,0.96494708994709,0.8968253968253967,0.8214285714285714,0.8571428571428571,0.8742063492063491,9.825398123528992e-06,9.825398123528992e-05
14,0.15948789607926062,0.9317828205602294,0.25867779114667105,0.8252673252673253,0.860813492063492,0.9624338624338625,0.8837797619047618,0.6770833333333333,0.6666666666666666,0.8217708333333332,9.779702293118399e-06,9.7797022931184e-05
15,0.18593909109339996,0.9257866280365098,0.3209726572694147,0.8237133237133237,0.855842151675485,0.9571428571428573,0.877405753968254,0.6833333333333333,0.6666666666666666,0.8191840277777778,9.728834602691071e-06,9.72883460269107e-05
16,0.15780376360059423,0.9365457413930525,0.22227385990759907,0.8371720871720871,0.8680335097001763,0.9596560846560848,0.8874751984126984,0.7125,0.6666666666666666,0.8349826388888888,9.672850675319658e-06,9.672850675319657e-05
17,0.15664509268155496,0.9347362395760999,0.30891000676681013,0.7999037999038,0.8268518518518518,0.9518518518518518,0.8510416666666667,0.6333333333333333,0.6666666666666666,0.7857291666666666,9.611811728606793e-06,9.611811728606792e-05
18,0.1432982499108595,0.9413442125177005,0.3386324542875895,0.8163059163059163,0.8518518518518519,0.9568783068783069,0.8828125,0.6041666666666666,0.6,0.79921875,9.545784507744541e-06,9.54578450774454e-05
19,0.13047530041233954,0.9473065892874691,0.3380182264646625,0.7708032708032708,0.8085578002244669,0.9417989417989419,0.8372068903318903,0.5793650793650793,0.5714285714285714,0.759854347041847,9.474841212529513e-06,9.474841212529512e-05
20,0.11563630427321861,0.9496718207934643,0.27811145160675926,0.8567821067821068,0.8862654320987653,0.9656084656084657,0.9027777777777777,0.7541666666666667,0.75,0.8581944444444443,9.399059418413446e-06,9.399059418413446e-05
21,0.11404428322950574,0.9501931492801367,0.2846135415191598,0.8448773448773448,0.8804012345679012,0.9646825396825397,0.8888888888888888,0.8125,0.8571428571428571,0.8659722222222221,9.318521991675593e-06,9.318521991675593e-05
22,0.10752309988951725,0.9551748378462374,0.1990068831535823,0.8787878787878788,0.9155202821869488,0.9792328042328042,0.9205853174603174,0.875,0.8571428571428571,0.9069097222222222,9.233316998809651e-06,9.23331699880965e-05
