Zone,ObservedCount,InitialThreshold,BestThreshold,BestF1
1,48,0.5,0.5,0.72
2,48,0.5,0.5,0.7027027027027027
3,48,0.5,0.5,0.72
4,48,0.5,0.5,0.7368421052631579
5,48,0.5,0.5,0.7027027027027027
6,48,0.5,0.5,0.6666666666666666
7,48,0.5,0.5,0.72
8,48,0.5,0.5,0.7368421052631579
9,48,0.5,0.5,0.7027027027027027
10,48,0.5,0.5,0.7027027027027027
