epoch,train_loss,train_mean_f1,val_loss,val_mean_f1,val_mean_average_precision,val_mean_roc_auc,val_mean_ap_zones_1_8,val_zone9_average_precision,val_zone9_f1,val_checkpoint_score,lr_backbone,lr_head
1,0.7279627453569263,0.6323053798395741,0.7925329785193166,0.6426633432731143,0.6901132757752678,0.7399472281750737,0.6914341273436142,0.6795464632284969,0.6875,0.687867828109079,2.028571428571429e-06,2.0285714285714286e-05
2,0.531789041239003,0.7575459820059964,0.7514872397145917,0.7226390196387853,0.7463688151101696,0.8106883644965037,0.7490744384410412,0.7247238284631975,0.6582278481012658,0.741769255447688,4.028571428571429e-06,4.028571428571429e-05
3,0.4629871373310801,0.793572555269713,0.986257924187568,0.7000759404693626,0.7566549958298976,0.8228416528023634,0.7582861771313527,0.7436055454182564,0.704225352112676,0.7538819876174238,6.028571428571429e-06,6.028571428571429e-05
4,0.4354190327767056,0.8175459844312741,0.6949662527730388,0.7523647337120157,0.8013005898560577,0.8482742621951451,0.8089184200744781,0.7403579481086938,0.7142857142857143,0.7883502784847428,8.02857142857143e-06,8.028571428571428e-05
5,0.41318818932760976,0.8203645722182002,0.5672980258541722,0.7631298060310142,0.8118002498884329,0.8473340831807564,0.8305183252917971,0.6620556466615196,0.6578947368421053,0.7799795217027139,9.999999447628008e-06,9.999999447628008e-05
6,0.3678213034080255,0.837381730644446,0.5688932711078275,0.7739864100644644,0.8054737904329453,0.8596839938431393,0.8164195411000936,0.7179077850957586,0.6923076923076923,0.7868660142987931,9.99721575378418e-06,9.99721575378418e-05
7,0.33303760159013274,0.8536198249893159,0.8889604768445415,0.7412314166204766,0.8034268209049404,0.8443069118944293,0.8165166569356932,0.6987081326589187,0.7419354838709677,0.7811740996526608,9.98902235214788e-06,9.98902235214788e-05
8,0.3164574773184528,0.8696034447123444,0.7771957881989018,0.7595133337514778,0.8195219356759003,0.8628202959372104,0.8303825476701633,0.732637039721796,0.7333333333333333,0.801058895285653,9.975428202083502e-06,9.975428202083502e-05
9,0.3028985276732004,0.8752539786359098,0.5958974957466125,0.7549602170032279,0.8023543902815848,0.8384422326079088,0.8222643710850481,0.6430745438538785,0.6590909090909091,0.7685074229156972,9.956448168594552e-06,9.956448168594552e-05
10,0.2726343576096327,0.8826927385826076,0.6819022932360249,0.7749428047746516,0.8090326597923667,0.8708346198305754,0.8149772346563583,0.7614760608804342,0.7540983606557377,0.798926882523581,9.932103006068992e-06,9.93210300606899e-05
11,0.24162991941986647,0.8977052813055582,0.7372165283849162,0.7595522454669209,0.8079271484019339,0.8557447997595261,0.8128987115020776,0.7681546436007843,0.72,0.7994754911316896,9.902419335584608e-06,9.902419335584608e-05
12,0.25790618697691164,0.8938659248687174,0.9550034922938193,0.7463088637593368,0.806054599771971,0.8622297086912794,0.8081080143664324,0.7896272830162799,0.7307692307692307,0.8025637949613866,9.867429615799264e-06,9.867429615799264e-05
13,0.21375595858697288,0.9123135800999714,0.9081820076511752,0.7487238276845777,0.8108231632537668,0.8560198345272445,0.8213147041082625,0.7268908364178019,0.6785714285714286,0.7929875438011242,9.827172107457833e-06,9.827172107457834e-05
14,0.2308793435091505,0.9027197022126716,0.8359663371116884,0.769133468876971,0.8087533147646099,0.8522052915843656,0.8214590910419898,0.7071071045455709,0.676923076923077,0.7871534950930641,9.781690831554634e-06,9.781690831554633e-05
15,0.19317483014274106,0.9138684270040094,0.8063258990164726,0.7650005189133897,0.8364568656684188,0.8751114755968811,0.8473344148449744,0.7494364722559745,0.5957446808510638,0.8179650320682743,9.731035521197109e-06,9.73103552119711e-05
16,0.19216834864714685,0.9186305296990914,0.9334846754227916,0.7562686383510643,0.8278573722778655,0.8615487225643954,0.8418545365384422,0.7158800581932516,0.6296296296296297,0.804062193034885,9.67526156722343e-06,9.67526156722343e-05
17,0.19810398972529475,0.9172771780645209,0.8302931574083143,0.7616904372223522,0.8235636001482679,0.8627383066758916,0.8367162612477766,0.7183423113521976,0.6538461538461539,0.801204076279103,9.614429957633397e-06,9.614429957633396e-05
18,0.16584594495167607,0.9290007386389062,0.8757980446661672,0.7734724301600463,0.830081171096095,0.8612124916926723,0.8417474843505153,0.7367506650607334,0.6538461538461539,0.8102484385635806,9.548607210898977e-06,9.548607210898977e-05
19,0.15023338417047558,0.937538916368868,0.9048938866584532,0.7634725295469944,0.8315752029054951,0.8631988349227749,0.8468562344255075,0.7093269507453962,0.631578947368421,0.805597449321474,9.477865303227325e-06,9.477865303227324e-05
20,0.1451582463350713,0.9351425761569353,1.1490789632643423,0.762010114981637,0.838310124184211,0.8680001906792174,0.8508779062073146,0.7377678679993829,0.5454545454545454,0.8169448947449351,9.402281589855856e-06,9.402281589855856e-05
21,0.14524754727016453,0.9370522409657887,0.9094106862621922,0.7802791896599127,0.8397435204867117,0.8675537134216936,0.8557868175670093,0.7113971438443321,0.6557377049180327,0.812469915450206,9.321938720465434e-06,9.321938720465434e-05
22,0.13130748715124507,0.9463615820747646,0.9669747141099745,0.7665349113663823,0.8306850733423808,0.8582942524485314,0.8490640639731715,0.6836531482960564,0.56,0.7994407892700368,9.236924548804156e-06,9.236924548804155e-05
23,0.11784891797169035,0.9522827804884828,0.8050149083137512,0.7760972371297343,0.8444283325835736,0.8700596013863299,0.8614123851827324,0.7085559117903033,0.6779661016949152,0.8155554431650036,9.147332036620567e-06,9.147332036620567e-05
24,0.108497105048734,0.9524770507518904,1.274915870158903,0.7516275921153971,0.8379987786550842,0.8589720379185812,0.8571346960278495,0.6849114396729616,0.52,0.8054677191213832,9.053259152011355e-06,9.053259152011355e-05
25,0.11610192725355693,0.9496759802345756,0.9428210373847715,0.7929320053380204,0.8411230785328112,0.8734599954244443,0.8556859555382952,0.724620062488939,0.6785714285714286,0.8163661876234882,8.954808762294678e-06,8.954808762294678e-05
26,0.09829125112195194,0.9572435774672537,1.0552649324940098,0.7706460206460206,0.8406446286816807,0.8603480811236559,0.8560120339436699,0.717705386585767,0.6071428571428571,0.8145200397362989,8.852088521526258e-06,8.852088521526257e-05
27,0.09629185928866998,0.9568258268199119,1.1282412140600142,0.7609827755973171,0.8333170029577892,0.8575518992460137,0.8482850532406798,0.7135726006946637,0.5490196078431373,0.8078713174768749,8.74521075278125e-06,8.745210752781249e-05
28,0.08677080286420208,0.9582640027513558,1.5924756200082841,0.736181355041253,0.8253920039236792,0.8444933292021108,0.8397812702701939,0.7102778731515609,0.5116279069767442,0.8009302511346039,8.634292325330611e-06,8.63429232533061e-05
29,0.10418885483085383,0.9545817795932999,1.4033492130617942,0.7543655792739179,0.8182476825284729,0.8278245762928352,0.8356076287433105,0.6793681128097724,0.5652173913043478,0.788735773963249,8.519454526846273e-06,8.519454526846272e-05
